FisheryID,FisheryName,Source,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total,Action
173,SoC BC Trl,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
174,NW VI  Trl,FRAM,79,0,365,5297,2189,3038,0,83,4320,617,15988,Remove years & standard adjustment
174,NW VI  Trl,RMIS,79,,389,5297,2189,3136,265,106,3958,390,15809,Remove years & standard adjustment
174,NW VI  Trl,Sampled,68,,292,5297,2120,3122,45,57,3096,376,14473,Remove years & standard adjustment
174,NW VI  Trl,Xpansion,1.16,0.00,1.33,1.00,1.03,1.00,0.00,1.86,1.28,1.04,,Remove years & standard adjustment
175,SW VI  Trl,FRAM,379,0,1665,0,32760,3041,139,233,2466,539,41222,Remove years & standard adjustment
175,SW VI  Trl,RMIS,379,,1730,829,32760,3050,130,240,2,,39120,Remove years & standard adjustment
175,SW VI  Trl,Sampled,329,,1675,829,32760,3019,100,233,,,38945,Remove years & standard adjustment
175,SW VI  Trl,Xpansion,1.15,0.00,1.03,0.00,1.00,1.01,1.30,1.03,0.00,0.00,,Remove years & standard adjustment
176,GeoStr Trl,FRAM,0,0,,,0,,,,0,,0,Remove  fishery
176,GeoStr Trl,RMIS,,,,,4,,,,1,,5,Remove  fishery
176,GeoStr Trl,Sampled,,,,,,,,,,,0,Remove  fishery
176,GeoStr Trl,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,Remove  fishery
178,No BC  Net,FRAM,4181,10967,0,21022,26730,20002,37739,12915,1262,625,135443,Remove years & standard adjustment
178,No BC  Net,RMIS,572,11489,0,21456,27114,20506,38427,13397,829,224,134014,Remove years & standard adjustment
178,No BC  Net,Sampled,122,10990,,21254,4902,20179,38427,13396,829,224,110323,Remove years & standard adjustment
178,No BC  Net,Xpansion,0.00,1.05,0.00,1.01,5.53,1.02,1.00,1.00,0.00,0.00,,Remove years & standard adjustment
179,Cen BC Net,FRAM,386,,495,24499,11636,964,224,4551,1982,587,45324,Remove years & standard adjustment
179,Cen BC Net,RMIS,362,15672,495,24499,11784,964,224,536,,6,54542,Remove years & standard adjustment
179,Cen BC Net,Sampled,362,14485,,10221,640,,,536,,,26244,Remove years & standard adjustment
179,Cen BC Net,Xpansion,1.00,0.00,0.00,2.40,18.41,0.00,0.00,0.00,0.00,0.00,,Remove years & standard adjustment
180,NW VI  Net,FRAM,572,683,0,0,,2,0,,,,1257,Remove  fishery
180,NW VI  Net,RMIS,568,689,3,2,,12,,,,,1274,Remove  fishery
180,NW VI  Net,Sampled,,,,,,,,,,,0,Remove  fishery
180,NW VI  Net,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
181,SW VI  Net,FRAM,194,359,346,1182,607,67,808,0,0,0,3563,Remove  fishery
181,SW VI  Net,RMIS,198,296,346,1177,607,1389,3572,2946,4053,3664,18248,Remove  fishery
181,SW VI  Net,Sampled,,94,21,715,,298,3564,2005,4053,3634,14384,Remove  fishery
181,SW VI  Net,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
182,Johnst Net,FRAM,535,615,5,2416,1800,206,326,0,0,0,5903,Remove years & standard adjustment
182,Johnst Net,RMIS,535,614,8,2415,1861,789,415,452,752,110,7951,Remove years & standard adjustment
182,Johnst Net,Sampled,364,421,,,1347,,176,,,106,2414,Remove years & standard adjustment
182,Johnst Net,Xpansion,1.47,1.46,0.00,0.00,1.38,0.00,2.36,0.00,0.00,0.00,,Remove years & standard adjustment
183,GeoStr Net,FRAM,0.00,,2.00,,0.00,104.00,0.00,0.00,0.00,0.00,106,Remove  fishery
183,GeoStr Net,RMIS,,,2,,,,,,,,2,Remove  fishery
183,GeoStr Net,Sampled,,,,,,,,,,,0,Remove  fishery
183,GeoStr Net,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
184,Fraser Net,FRAM,,,,,,,,,,,0,Remove  fishery
184,Fraser Net,RMIS,14,295,,514,237,189,519,407,426,264,2865,Remove  fishery
184,Fraser Net,Sampled,10,,,,1,181,519,407,318,264,1700,Remove  fishery
184,Fraser Net,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
185,BC JDF Net,FRAM,5,0,0,2869,161,0,27,,,,3062,Remove  fishery
185,BC JDF Net,RMIS,5,,,,121,26,26,9,31,49,267,Remove  fishery
185,BC JDF Net,Sampled,,,,,,,,,,46,46,Remove  fishery
185,BC JDF Net,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
186,JStrBC Spt,FRAM,2485,3169,3577,4339,9791,7415,4012,5545,4839,4797,49969,Remove  fishery
186,JStrBC Spt,RMIS,,,,,,,,,,,0,Remove  fishery
186,JStrBC Spt,Sampled,,,,,,,,,,,0,Remove  fishery
186,JStrBC Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
187,No BC  Spt,FRAM,58694,81060,70156,41100,63387,72830,70156,77127,45921,62735,643166,Remove  fishery
187,No BC  Spt,RMIS,2951,5782,6172,6128,10275,8440,4901,5509,4067,2279,56504,Remove  fishery
187,No BC  Spt,Sampled,,,,,,114,24,,26,245,409,Remove  fishery
187,No BC  Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
188,Cen BC Spt,FRAM,11950,2613,19873,23883,21518,26306,25544,19395,16439,17428,184949,Remove  fishery
188,Cen BC Spt,RMIS,,,,,,,,,,,0,Remove  fishery
188,Cen BC Spt,Sampled,,,,,,,,,,,0,Remove  fishery
188,Cen BC Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
189,BC JDF Spt,FRAM,1537,10485,21122,23024,20234,12315,7606,8237,11249,10243,126052,Remove years & standard adjustment
189,BC JDF Spt,RMIS,2358,11117,22033,23616,23782,12577,7794,9070,12987,12435,137769,Remove years & standard adjustment
189,BC JDF Spt,Sampled,822,633,909,592,460,325,227,852,1768,2223,8811,Remove years & standard adjustment
189,BC JDF Spt,Xpansion,0.00,17.56,0.00,0.00,0.00,0.00,0.00,10.65,0.00,0.00,,Remove years & standard adjustment
190,WC VI  Spt,FRAM,14921,56347,46228,49911,39447,27019,20067,29374,45152,68351,396817,Remove  fishery
190,WC VI  Spt,RMIS,14922,56341,44899,64406,43456,27023,20069,26540,45154,35818,378628,Remove  fishery
190,WC VI  Spt,Sampled,,,,,,475,155,148,199,546,1523,Remove  fishery
190,WC VI  Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
191,NGaStr Spt,FRAM,1272,654,1151,21430,12702,8971,9875,6596,13725,4323,80699,Remove  fishery
191,NGaStr Spt,RMIS,1101,4100,2287,17612,11663,6265,4835,2984,8005,1221,60073,Remove  fishery
191,NGaStr Spt,Sampled,,,,,,35,28,50,119,13,245,Remove  fishery
191,NGaStr Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
192,SGaStr Spt,FRAM,1215,763,2498,5277,1957,2077,2552,3286,5302,2177,27104,Remove  fishery
192,SGaStr Spt,RMIS,1541,885,2661,12855,8004,5874,8687,7544,11997,5759,65807,Remove  fishery
192,SGaStr Spt,Sampled,,,,,,996,47,30,59,14,1146,Remove  fishery
192,SGaStr Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
194,SW AK  Trl,FRAM,196231,166860,184127,382365,290590,164667,213666,223273,177030,109247,2108056,No adjustment
194,SW AK  Trl,RMIS,196231,166860,184127,382365,290590,164667,214073,223273,177030,109247,2108463,No adjustment
194,SW AK  Trl,Sampled,196231,166860,184127,382365,290590,164667,214073,223273,177030,109247,2108463,No adjustment
194,SW AK  Trl,Xpansion,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,No adjustment
195,SE AK  Trl,FRAM,123304,130344,144235,284460,198432,180447,108284,106654,64397,34568,1375125,Standard adjustment
195,SE AK  Trl,RMIS,123354,130470,145549,287799,216701,182573,108503,106654,64722,35074,1401399,Standard adjustment
195,SE AK  Trl,Sampled,123283,130203,144292,283617,201821,181272,108468,106654,64688,34873,1379171,Standard adjustment
195,SE AK  Trl,Xpansion,1.00,1.00,1.01,1.01,1.07,1.01,1.00,1.00,1.00,1.01,,Standard adjustment
196,NW AK  Trl,FRAM,887480,811904,787503,1502845,1504623,612265,940188,1500216,619871,688251,9855146,Standard adjustment
196,NW AK  Trl,RMIS,887486,812109,787635,1503086,1504977,612977,940711,1500216,619990,688430,9857617,Standard adjustment
196,NW AK  Trl,Sampled,887480,811928,787428,1493387,1504612,612174,940540,1500159,619877,688220,9845805,Standard adjustment
196,NW AK  Trl,Xpansion,1.00,1.00,1.00,1.01,1.00,1.00,1.00,1.00,1.00,1.00,,Standard adjustment
197,NE AK  Trl,FRAM,135059,193818,84285,206430,235541,276615,123084,321639,79422,134402,1790295,Standard adjustment
197,NE AK  Trl,RMIS,135961,204771,84413,220540,236103,280883,124303,321639,80869,141152,1830634,Standard adjustment
197,NE AK  Trl,Sampled,135511,202712,84297,214724,235529,277098,124299,316620,79754,134858,1805402,Standard adjustment
197,NE AK  Trl,Xpansion,1.00,1.01,1.00,1.03,1.00,1.01,1.00,1.02,1.01,1.05,,Standard adjustment
198,SE AK Net,FRAM,741790,615371,529597,1007502,918731,514188,549592,615080,469378,516090,6477319,Don't adjust
198,SE AK Net,RMIS,944350,764181,682650,1194122,1155895,699054,711999,605942,525522,561019,7844734,Don't adjust
198,SE AK Net,Sampled,742135,624037,536466,1141704,982013,554797,548456,450198,412184,446196,6438186,Don't adjust
198,SE AK Net,Xpansion,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,Don't adjust
199,SE AK Sport,FRAM,,,,,,,,,,,0,Remove  fishery
199,SE AK Sport,RMIS,80105,99341,62427,126019,95570,110407,106095,179851,105468,78681,1043964,Remove  fishery
199,SE AK Sport,Sampled,80105,99341,62427,126019,95570,110405,106095,179851,105454,78681,1043948,Remove  fishery
199,SE AK Sport,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
